date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:05	99/99	---MCZ	200	added ('OK')	text/plain	etag:W/%22655c025d-54%22	https://optimataxrelief.com/robots.txt		(from )
05:03:05	374420/374420	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Aug%202025%2009:03:05%20GMT	https://optimataxrelief.com/	C:/My%20Web%20Sites/Optima/optimataxrelief.com/index.html	(from )
05:03:06	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2029%20Aug%202025%2009:03:06%20GMT	https://optimataxrelief.com/xmlrpc.php	C:/My%20Web%20Sites/Optima/optimataxrelief.com/xmlrpc.php	(from https://optimataxrelief.com/)
05:03:06	836/836	---MCZ	200	added ('OK')	text/css	etag:W/%22687dd150-344%22	https://optimataxrelief.com/wp-content/plugins/wp-accessibility/toolbar/fonts/css/a11y-toolbar.css?ver=2.0.1	C:/My%20Web%20Sites/Optima/optimataxrelief.com/wp-content/plugins/wp-accessibility/toolbar/fonts/css/a11y-toolbar7406.css	(from https://optimataxrelief.com/)
05:03:06	11869/11869	---MC-	200	added ('OK')	application/rss+xml	etag:%22337126d529f96a5be48a14cace8b356e%22	https://optimataxrelief.com/feed/	C:/My%20Web%20Sites/Optima/optimataxrelief.com/feed/index.html	(from https://optimataxrelief.com/)
05:03:06	3244/3244	---MCZ	200	added ('OK')	text/css	etag:W/%22687dd150-cac%22	https://optimataxrelief.com/wp-content/plugins/wp-accessibility/toolbar/css/a11y.css?ver=2.0.1	C:/My%20Web%20Sites/Optima/optimataxrelief.com/wp-content/plugins/wp-accessibility/toolbar/css/a11y7406.css	(from https://optimataxrelief.com/)
05:03:07	797/797	---MC-	200	added ('OK')	application/rss+xml	etag:%22337126d529f96a5be48a14cace8b356e%22	https://optimataxrelief.com/comments/feed/	C:/My%20Web%20Sites/Optima/optimataxrelief.com/comments/feed/index.html	(from https://optimataxrelief.com/)
05:03:07	135/135	---MCZ	200	added ('OK')	text/css	etag:W/%22687dd150-87%22	https://optimataxrelief.com/wp-content/plugins/wp-accessibility/toolbar/css/a11y-fontsize-alt.css?ver=2.0.1	C:/My%20Web%20Sites/Optima/optimataxrelief.com/wp-content/plugins/wp-accessibility/toolbar/css/a11y-fontsize-alt7406.css	(from https://optimataxrelief.com/)
05:03:07	5217/5217	---MCZ	200	added ('OK')	text/css	etag:W/%22687dd150-1461%22	https://optimataxrelief.com/wp-content/plugins/wp-accessibility/css/wpa-style.css?ver=2.0.1	C:/My%20Web%20Sites/Optima/optimataxrelief.com/wp-content/plugins/wp-accessibility/css/wpa-style7406.css	(from https://optimataxrelief.com/)
05:03:08	52333/52333	---MCZ	200	added ('OK')	text/css	etag:W/%22689f6992-cc6d%22	https://optimataxrelief.com/wp-content/plugins/pojo-accessibility/modules/legacy/assets/css/style.min.css?ver=1.0.0	C:/My%20Web%20Sites/Optima/optimataxrelief.com/wp-content/plugins/pojo-accessibility/modules/legacy/assets/css/style.min8a54.css	(from https://optimataxrelief.com/)
